20 random points are as follows:
(61.000000,59.000000)
(92.000000,72.000000)
(31.000000,2.000000)
(96.000000,68.000000)
(5.000000,28.000000)
(45.000000,89.000000)
(4.000000,59.000000)
(67.000000,8.000000)
(72.000000,86.000000)
(95.000000,21.000000)
(58.000000,97.000000)
(70.000000,65.000000)
(1.000000,23.000000)
(13.000000,5.000000)
(20.000000,39.000000)
(14.000000,33.000000)
(50.000000,6.000000)
(5.000000,81.000000)
(8.000000,53.000000)
(2.000000,14.000000)
p[0][0] = 0	p[0][1] = 2	p[0][2] = 1	p[0][3] = 3	p[0][4] = 4	p[0][5] = 5	p[0][6] = 6	p[0][7] = 7	p[0][8] = 8	p[0][9] = 9	p[0][10] = 10	p[0][11] = 11	p[0][12] = 12	p[0][13] = 13	p[0][14] = 14	p[0][15] = 15	p[0][16] = 16	p[0][17] = 17	p[0][18] = 18	p[0][19] = 19	
p[1][0] = 0	p[1][1] = 3	p[1][2] = 2	p[1][3] = 1	p[1][4] = 4	p[1][5] = 5	p[1][6] = 6	p[1][7] = 7	p[1][8] = 8	p[1][9] = 9	p[1][10] = 10	p[1][11] = 11	p[1][12] = 12	p[1][13] = 13	p[1][14] = 14	p[1][15] = 15	p[1][16] = 16	p[1][17] = 17	p[1][18] = 18	p[1][19] = 19	
p[2][0] = 0	p[2][1] = 4	p[2][2] = 2	p[2][3] = 3	p[2][4] = 1	p[2][5] = 5	p[2][6] = 6	p[2][7] = 7	p[2][8] = 8	p[2][9] = 9	p[2][10] = 10	p[2][11] = 11	p[2][12] = 12	p[2][13] = 13	p[2][14] = 14	p[2][15] = 15	p[2][16] = 16	p[2][17] = 17	p[2][18] = 18	p[2][19] = 19	
p[3][0] = 0	p[3][1] = 5	p[3][2] = 2	p[3][3] = 3	p[3][4] = 4	p[3][5] = 1	p[3][6] = 6	p[3][7] = 7	p[3][8] = 8	p[3][9] = 9	p[3][10] = 10	p[3][11] = 11	p[3][12] = 12	p[3][13] = 13	p[3][14] = 14	p[3][15] = 15	p[3][16] = 16	p[3][17] = 17	p[3][18] = 18	p[3][19] = 19	
p[4][0] = 0	p[4][1] = 6	p[4][2] = 2	p[4][3] = 3	p[4][4] = 4	p[4][5] = 5	p[4][6] = 1	p[4][7] = 7	p[4][8] = 8	p[4][9] = 9	p[4][10] = 10	p[4][11] = 11	p[4][12] = 12	p[4][13] = 13	p[4][14] = 14	p[4][15] = 15	p[4][16] = 16	p[4][17] = 17	p[4][18] = 18	p[4][19] = 19	
p[5][0] = 0	p[5][1] = 7	p[5][2] = 2	p[5][3] = 3	p[5][4] = 4	p[5][5] = 5	p[5][6] = 6	p[5][7] = 1	p[5][8] = 8	p[5][9] = 9	p[5][10] = 10	p[5][11] = 11	p[5][12] = 12	p[5][13] = 13	p[5][14] = 14	p[5][15] = 15	p[5][16] = 16	p[5][17] = 17	p[5][18] = 18	p[5][19] = 19	
p[6][0] = 0	p[6][1] = 8	p[6][2] = 2	p[6][3] = 3	p[6][4] = 4	p[6][5] = 5	p[6][6] = 6	p[6][7] = 7	p[6][8] = 1	p[6][9] = 9	p[6][10] = 10	p[6][11] = 11	p[6][12] = 12	p[6][13] = 13	p[6][14] = 14	p[6][15] = 15	p[6][16] = 16	p[6][17] = 17	p[6][18] = 18	p[6][19] = 19	
p[7][0] = 0	p[7][1] = 9	p[7][2] = 2	p[7][3] = 3	p[7][4] = 4	p[7][5] = 5	p[7][6] = 6	p[7][7] = 7	p[7][8] = 8	p[7][9] = 1	p[7][10] = 10	p[7][11] = 11	p[7][12] = 12	p[7][13] = 13	p[7][14] = 14	p[7][15] = 15	p[7][16] = 16	p[7][17] = 17	p[7][18] = 18	p[7][19] = 19	
p[8][0] = 0	p[8][1] = 10	p[8][2] = 2	p[8][3] = 3	p[8][4] = 4	p[8][5] = 5	p[8][6] = 6	p[8][7] = 7	p[8][8] = 8	p[8][9] = 9	p[8][10] = 1	p[8][11] = 11	p[8][12] = 12	p[8][13] = 13	p[8][14] = 14	p[8][15] = 15	p[8][16] = 16	p[8][17] = 17	p[8][18] = 18	p[8][19] = 19	
p[9][0] = 0	p[9][1] = 11	p[9][2] = 2	p[9][3] = 3	p[9][4] = 4	p[9][5] = 5	p[9][6] = 6	p[9][7] = 7	p[9][8] = 8	p[9][9] = 9	p[9][10] = 10	p[9][11] = 1	p[9][12] = 12	p[9][13] = 13	p[9][14] = 14	p[9][15] = 15	p[9][16] = 16	p[9][17] = 17	p[9][18] = 18	p[9][19] = 19	
p[10][0] = 0	p[10][1] = 12	p[10][2] = 2	p[10][3] = 3	p[10][4] = 4	p[10][5] = 5	p[10][6] = 6	p[10][7] = 7	p[10][8] = 8	p[10][9] = 9	p[10][10] = 10	p[10][11] = 11	p[10][12] = 1	p[10][13] = 13	p[10][14] = 14	p[10][15] = 15	p[10][16] = 16	p[10][17] = 17	p[10][18] = 18	p[10][19] = 19	
p[11][0] = 0	p[11][1] = 13	p[11][2] = 2	p[11][3] = 3	p[11][4] = 4	p[11][5] = 5	p[11][6] = 6	p[11][7] = 7	p[11][8] = 8	p[11][9] = 9	p[11][10] = 10	p[11][11] = 11	p[11][12] = 12	p[11][13] = 1	p[11][14] = 14	p[11][15] = 15	p[11][16] = 16	p[11][17] = 17	p[11][18] = 18	p[11][19] = 19	
p[12][0] = 0	p[12][1] = 14	p[12][2] = 2	p[12][3] = 3	p[12][4] = 4	p[12][5] = 5	p[12][6] = 6	p[12][7] = 7	p[12][8] = 8	p[12][9] = 9	p[12][10] = 10	p[12][11] = 11	p[12][12] = 12	p[12][13] = 13	p[12][14] = 1	p[12][15] = 15	p[12][16] = 16	p[12][17] = 17	p[12][18] = 18	p[12][19] = 19	
p[13][0] = 0	p[13][1] = 15	p[13][2] = 2	p[13][3] = 3	p[13][4] = 4	p[13][5] = 5	p[13][6] = 6	p[13][7] = 7	p[13][8] = 8	p[13][9] = 9	p[13][10] = 10	p[13][11] = 11	p[13][12] = 12	p[13][13] = 13	p[13][14] = 14	p[13][15] = 1	p[13][16] = 16	p[13][17] = 17	p[13][18] = 18	p[13][19] = 19	
